nat_accounts_indicator,ppp_category,country,year,ppp_value
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,2020,1.16188
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,2021,1.15864
Purchasing power parities (EU27_2020=1),Actual individual consumption,Belgium,2022,1.17693
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,1995,1.13801
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,1996,1.11549
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,1997,1.13363
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,1998,1.13943
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,1999,1.11958
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,2000,1.11921
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,2001,1.11572
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,2002,1.11236
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,2003,1.08667
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,2004,1.07188
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,2005,1.06484
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,2006,1.0615
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,2007,1.05143
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,2008,1.04792
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,2009,1.05968
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,2010,1.05143
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,2011,1.04259
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,2012,1.04513
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,2013,1.0556
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,2014,1.05721
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,2015,1.06832
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,2016,1.06557
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,2017,1.06482
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,2018,1.06243
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,2019,1.07675
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,2020,1.0798
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,2021,1.0906
Purchasing power parities (EU27_2020=1),Actual individual consumption,Germany,2022,1.09721
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,1995,10.8023
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,1996,10.6662
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,1997,10.7532
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,1998,10.7176
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,1999,10.8615
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,2000,10.8675
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,2001,11.1064
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,2002,11.057
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,2003,11.1765
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,2004,11.0858
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,2005,11.1089
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,2006,10.9176
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,2007,10.5937
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,2008,10.5869
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,2009,10.6933
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,2010,10.6348
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,2011,10.6273
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,2012,10.7679
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,2013,10.6932
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,2014,10.7604
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,2015,10.7073
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,2016,10.8745
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,2017,10.6702
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,2018,10.6122
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,2019,10.7203
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,2020,10.6709
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,2021,10.6139
Purchasing power parities (EU27_2020=1),Actual individual consumption,Denmark,2022,10.9457
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,1995,0.530112
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,1996,0.533622
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,1997,0.558463
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,1998,0.594111
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,1999,0.613318
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,2000,0.626667
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,2001,0.643646
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,2002,0.643085
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,2003,0.650833
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,2004,0.664419
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,2005,0.682846
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,2006,0.679461
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,2007,0.677192
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,2008,0.682055
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,2009,0.692854
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,2010,0.691505
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,2011,0.685778
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,2012,0.676145
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,2013,0.668252
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,2014,0.659309
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,2015,0.65204
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,2016,0.643327
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,2017,0.643155
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,2018,0.652878
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,2019,0.659862
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,2020,0.661802
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,2021,0.66268
Purchasing power parities (EU27_2020=1),Actual individual consumption,Croatia,2022,0.688841
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,1995,0.978408
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,1996,0.997562
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,1997,1.01411
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,1998,1.01465
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,1999,1.02066
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,2000,1.0284
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,2001,1.04529
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,2002,1.06642
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,2003,1.06782
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,2004,1.08194
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,2005,1.0803
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,2006,1.07117
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,2007,1.06035
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,2008,1.03874
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,2009,1.04947
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,2010,1.02436
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,2011,1.03518
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,2012,1.04441
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,2013,1.05266
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,2014,1.0686
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,2015,1.06726
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,2016,1.0531
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,2017,1.04722
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,2018,1.04404
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,2019,1.02965
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,2020,1.02595
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,2021,1.02023
Purchasing power parities (EU27_2020=1),Actual individual consumption,Italy,2022,1.0116
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,1995,1.33472
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,1996,1.54217
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,1997,1.75845
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,1998,1.92643
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,1999,2.02477
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,2000,2.16744
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,2001,2.20024
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,2002,2.18702
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,2003,2.16631
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,2004,2.20885
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,2005,2.27343
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,2006,2.27986
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,2007,2.21338
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,2008,2.25459
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,2009,2.32917
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,2010,2.24808
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,2011,2.2572
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,2012,2.25121
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,2013,2.26585
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,2014,2.29056
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,2015,2.27639
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,2016,2.31274
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,2017,2.36676
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,2018,2.40627
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,2019,2.44694
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,2020,2.47959
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,2021,2.57043
Purchasing power parities (EU27_2020=1),Actual individual consumption,Poland,2022,2.71905
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,1995,11.7454
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,1996,11.5644
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,1997,11.8241
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,1998,11.9169
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,1999,11.6415
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,2000,11.4625
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,2001,11.7675
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,2002,11.9023
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,2003,12.0304
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,2004,11.901
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,2005,11.8514
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,2006,11.6414
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,2007,11.4378
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,2008,11.4069
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,2009,11.7827
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,2010,12.1237
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,2011,12.1314
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,2012,12.0756
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,2013,12.5096
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,2014,12.6656
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,2015,12.8187
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,2016,13.3036
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,2017,13.4955
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,2018,13.7375
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,2019,13.8932
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,2020,14.0372
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,2021,13.8043
Purchasing power parities (EU27_2020=1),Actual individual consumption,Sweden,2022,13.7366
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,1995,0.451842
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,1996,0.463183
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,1997,0.48059
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,1998,0.503175
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,1999,0.542242
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,2000,0.571126
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,2001,0.570027
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,2002,0.57833
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,2003,0.615364
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,2004,0.651691
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,2005,0.654201
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,2006,0.677529
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,2007,0.676823
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,2008,0.674188
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,2009,0.674531
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,2010,0.637928
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,2011,0.64701
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,2012,0.655099
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,2013,0.652873
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,2014,0.659663
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,2015,0.662495
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,2016,0.722721
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,2017,0.756586
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,2018,0.785152
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,2019,0.788782
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,2020,0.765906
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,2021,0.771939
Purchasing power parities (EU27_2020=1),Actual individual consumption,Slovakia,2022,0.801649
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Belgium,2003,1.0995
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Belgium,2004,1.08826
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Belgium,2005,1.10709
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Belgium,2006,1.13019
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Belgium,2007,1.13948
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Belgium,2008,1.14082
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Belgium,2009,1.15948
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Belgium,2010,1.16398
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Belgium,2011,1.10382
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Belgium,2012,1.10985
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Belgium,2013,1.11836
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Belgium,2014,1.08749
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Belgium,2015,1.09679
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Belgium,2016,1.11635
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Belgium,2017,1.12563
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Belgium,2018,1.13387
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Belgium,2019,1.1233
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Belgium,2020,1.07451
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Belgium,2021,1.05618
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Belgium,2022,1.03998
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Germany,2003,1.08825
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Germany,2004,1.07283
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Germany,2005,1.07429
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Germany,2006,1.0844
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Germany,2007,1.08088
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Germany,2008,1.1123
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Germany,2009,1.11359
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Germany,2010,1.11209
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Germany,2011,1.06232
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Germany,2012,1.07454
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Germany,2013,1.08969
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Germany,2014,1.04409
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Germany,2015,1.04696
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Germany,2016,1.05946
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Germany,2017,1.00451
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Germany,2018,1.01355
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Germany,2019,1.01417
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Germany,2020,1.02262
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Germany,2021,1.04239
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Germany,2022,1.06261
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Denmark,2003,10.7335
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Denmark,2004,10.5514
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Denmark,2005,10.7118
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Denmark,2006,10.9822
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Denmark,2007,11.0573
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Denmark,2008,10.3407
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Denmark,2009,10.4571
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Denmark,2010,10.3274
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Denmark,2011,10.6013
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Denmark,2012,10.6712
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Denmark,2013,10.4305
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Denmark,2014,10.8701
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Denmark,2015,10.9203
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Denmark,2016,10.9297
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Denmark,2017,9.75207
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Denmark,2018,9.60147
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Denmark,2019,9.62994
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Denmark,2020,9.00067
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Denmark,2021,8.92428
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Denmark,2022,8.98567
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Croatia,2003,0.830814
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Croatia,2004,0.841413
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Croatia,2005,0.867919
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Croatia,2006,0.870118
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Croatia,2007,0.868696
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Croatia,2008,0.88287
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Croatia,2009,0.913317
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Croatia,2010,0.888006
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Croatia,2011,0.917096
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Croatia,2012,0.91799
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Croatia,2013,0.93157
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Croatia,2014,0.932353
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Croatia,2015,0.936944
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Croatia,2016,0.936002
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Croatia,2017,0.953337
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Croatia,2018,0.95288
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Croatia,2019,0.940423
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Croatia,2020,0.966362
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Croatia,2021,0.974271
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Croatia,2022,1.01095
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Italy,2003,1.19044
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Italy,2004,1.2067
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Italy,2005,1.19039
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Italy,2006,1.18181
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Italy,2007,1.17514
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Italy,2008,1.05801
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Italy,2009,1.09107
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Italy,2010,1.07716
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Italy,2011,1.12444
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Italy,2012,1.12194
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Italy,2013,1.12052
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Italy,2014,1.11056
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Italy,2015,1.11043
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Italy,2016,1.10695
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Italy,2017,1.09921
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Italy,2018,1.09809
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Italy,2019,1.09053
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Italy,2020,1.06658
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Italy,2021,1.05711
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Italy,2022,1.04116
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Poland,2003,2.46615
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Poland,2004,2.57696
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Poland,2005,2.64774
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Poland,2006,2.62552
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Poland,2007,2.65735
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Poland,2008,2.58858
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Poland,2009,2.73176
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Poland,2010,2.78059
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Poland,2011,2.57155
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Poland,2012,2.60096
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Poland,2013,2.58631
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Poland,2014,2.69103
Purchasing power parities (EU27_2020=1),Food and non-alcoholic beverage,Poland,2015,2.65795
